category,job_description,job_skill_set
Education,Teach secondary school students and develop curriculum aligned with national standards.,"['Curriculum Development', 'Teaching', 'Assessment', 'Mentoring']"
Education,Instruct university-level courses and contribute to academic research.,"['Lecture Delivery', 'Research', 'Academic Writing', 'Advising']"
Education,Teach secondary school students and develop curriculum aligned with national standards.,"['Curriculum Development', 'Teaching', 'Assessment', 'Mentoring']"
Education,Teach secondary school students and develop curriculum aligned with national standards.,"['Curriculum Development', 'Teaching', 'Assessment', 'Mentoring']"
Education,Teach secondary school students and develop curriculum aligned with national standards.,"['Curriculum Development', 'Teaching', 'Assessment', 'Mentoring']"
Education,Instruct university-level courses and contribute to academic research.,"['Lecture Delivery', 'Research', 'Academic Writing', 'Advising']"
Education,Teach secondary school students and develop curriculum aligned with national standards.,"['Curriculum Development', 'Teaching', 'Assessment', 'Mentoring']"
Education,Teach secondary school students and develop curriculum aligned with national standards.,"['Curriculum Development', 'Teaching', 'Assessment', 'Mentoring']"
Education,Teach secondary school students and develop curriculum aligned with national standards.,"['Curriculum Development', 'Teaching', 'Assessment', 'Mentoring']"
Education,Instruct university-level courses and contribute to academic research.,"['Lecture Delivery', 'Research', 'Academic Writing', 'Advising']"
Education,Teach secondary school students and develop curriculum aligned with national standards.,"['Curriculum Development', 'Teaching', 'Assessment', 'Mentoring']"
Education,Teach secondary school students and develop curriculum aligned with national standards.,"['Curriculum Development', 'Teaching', 'Assessment', 'Mentoring']"
Education,Teach secondary school students and develop curriculum aligned with national standards.,"['Curriculum Development', 'Teaching', 'Assessment', 'Mentoring']"
Education,Teach secondary school students and develop curriculum aligned with national standards.,"['Curriculum Development', 'Teaching', 'Assessment', 'Mentoring']"
Education,Instruct university-level courses and contribute to academic research.,"['Lecture Delivery', 'Research', 'Academic Writing', 'Advising']"
Education,Teach secondary school students and develop curriculum aligned with national standards.,"['Curriculum Development', 'Teaching', 'Assessment', 'Mentoring']"
Education,Instruct university-level courses and contribute to academic research.,"['Lecture Delivery', 'Research', 'Academic Writing', 'Advising']"
Education,Instruct university-level courses and contribute to academic research.,"['Lecture Delivery', 'Research', 'Academic Writing', 'Advising']"
Education,Instruct university-level courses and contribute to academic research.,"['Lecture Delivery', 'Research', 'Academic Writing', 'Advising']"
Education,Teach secondary school students and develop curriculum aligned with national standards.,"['Curriculum Development', 'Teaching', 'Assessment', 'Mentoring']"
Education,Instruct university-level courses and contribute to academic research.,"['Lecture Delivery', 'Research', 'Academic Writing', 'Advising']"
Education,Teach secondary school students and develop curriculum aligned with national standards.,"['Curriculum Development', 'Teaching', 'Assessment', 'Mentoring']"
Education,Instruct university-level courses and contribute to academic research.,"['Lecture Delivery', 'Research', 'Academic Writing', 'Advising']"
Education,Instruct university-level courses and contribute to academic research.,"['Lecture Delivery', 'Research', 'Academic Writing', 'Advising']"
Education,Instruct university-level courses and contribute to academic research.,"['Lecture Delivery', 'Research', 'Academic Writing', 'Advising']"
Healthcare,Provide patient care and administer medication under supervision of physicians.,"['Nursing', 'Patient Care', 'Medication Administration', 'Vital Signs Monitoring']"
Healthcare,Manage medical records and support healthcare team in diagnostics and treatment.,"['Medical Records', 'Data Entry', 'Diagnostic Support', 'Team Communication']"
Healthcare,Provide patient care and administer medication under supervision of physicians.,"['Nursing', 'Patient Care', 'Medication Administration', 'Vital Signs Monitoring']"
Healthcare,Provide patient care and administer medication under supervision of physicians.,"['Nursing', 'Patient Care', 'Medication Administration', 'Vital Signs Monitoring']"
Healthcare,Provide patient care and administer medication under supervision of physicians.,"['Nursing', 'Patient Care', 'Medication Administration', 'Vital Signs Monitoring']"
Healthcare,Manage medical records and support healthcare team in diagnostics and treatment.,"['Medical Records', 'Data Entry', 'Diagnostic Support', 'Team Communication']"
Healthcare,Provide patient care and administer medication under supervision of physicians.,"['Nursing', 'Patient Care', 'Medication Administration', 'Vital Signs Monitoring']"
Healthcare,Provide patient care and administer medication under supervision of physicians.,"['Nursing', 'Patient Care', 'Medication Administration', 'Vital Signs Monitoring']"
Healthcare,Provide patient care and administer medication under supervision of physicians.,"['Nursing', 'Patient Care', 'Medication Administration', 'Vital Signs Monitoring']"
Healthcare,Manage medical records and support healthcare team in diagnostics and treatment.,"['Medical Records', 'Data Entry', 'Diagnostic Support', 'Team Communication']"
Healthcare,Provide patient care and administer medication under supervision of physicians.,"['Nursing', 'Patient Care', 'Medication Administration', 'Vital Signs Monitoring']"
Healthcare,Provide patient care and administer medication under supervision of physicians.,"['Nursing', 'Patient Care', 'Medication Administration', 'Vital Signs Monitoring']"
Healthcare,Provide patient care and administer medication under supervision of physicians.,"['Nursing', 'Patient Care', 'Medication Administration', 'Vital Signs Monitoring']"
Healthcare,Provide patient care and administer medication under supervision of physicians.,"['Nursing', 'Patient Care', 'Medication Administration', 'Vital Signs Monitoring']"
Healthcare,Manage medical records and support healthcare team in diagnostics and treatment.,"['Medical Records', 'Data Entry', 'Diagnostic Support', 'Team Communication']"
Healthcare,Provide patient care and administer medication under supervision of physicians.,"['Nursing', 'Patient Care', 'Medication Administration', 'Vital Signs Monitoring']"
Healthcare,Manage medical records and support healthcare team in diagnostics and treatment.,"['Medical Records', 'Data Entry', 'Diagnostic Support', 'Team Communication']"
Healthcare,Manage medical records and support healthcare team in diagnostics and treatment.,"['Medical Records', 'Data Entry', 'Diagnostic Support', 'Team Communication']"
Healthcare,Manage medical records and support healthcare team in diagnostics and treatment.,"['Medical Records', 'Data Entry', 'Diagnostic Support', 'Team Communication']"
Healthcare,Provide patient care and administer medication under supervision of physicians.,"['Nursing', 'Patient Care', 'Medication Administration', 'Vital Signs Monitoring']"
Healthcare,Manage medical records and support healthcare team in diagnostics and treatment.,"['Medical Records', 'Data Entry', 'Diagnostic Support', 'Team Communication']"
Healthcare,Provide patient care and administer medication under supervision of physicians.,"['Nursing', 'Patient Care', 'Medication Administration', 'Vital Signs Monitoring']"
Healthcare,Manage medical records and support healthcare team in diagnostics and treatment.,"['Medical Records', 'Data Entry', 'Diagnostic Support', 'Team Communication']"
Healthcare,Manage medical records and support healthcare team in diagnostics and treatment.,"['Medical Records', 'Data Entry', 'Diagnostic Support', 'Team Communication']"
Healthcare,Manage medical records and support healthcare team in diagnostics and treatment.,"['Medical Records', 'Data Entry', 'Diagnostic Support', 'Team Communication']"
